Cluster,Lat,Lng
West Wodonga,-36.11728249040531,146.79088905020708
Yackandandah,-36.329842977503546,146.99782431414098
Baranduda - Leneva,-36.17580229777518,146.939611288101
Wodonga,-36.11115230857879,146.8800931224316
Drouin,-38.135420901427224,145.8019524711832
Mount Baw Baw Region,-37.889455914554006,146.18668389884218
Trafalgar (Vic.),-38.223893009771786,146.12657306911987
Warragul,-38.21402264265446,145.93970740895153
Alps - East,-36.99410251769904,148.03593817438102
Bairnsdale,-37.8291507833843,147.61398934302346
Bruthen - Omeo,-37.3200541477956,147.5829845402205
Lake King,-37.883054299446144,147.76360260878764
Lakes Entrance,-37.839770527792034,147.9280835709207
Orbost,-37.44452265539115,148.77390681172534
Paynesville,-37.96087566577803,147.56034090261554
Foster,-38.67898053848165,146.1120863281718
French Island,-38.35000056183951,145.3649048126875
Korumburra,-38.39838804713765,145.76880511316782
Leongatha,-38.45112124270843,146.0440666312588
Phillip Island,-38.490653985956094,145.24079846176645
Wilsons Promontory,-38.960208642462796,146.36773826512652
Wonthaggi - Inverloch,-38.516538512582194,145.59864212680736
Churchill,-38.35885288596253,146.41762984623216
Moe - Newborough,-38.19660029754527,146.29592124991194
Morwell,-38.207667322632176,146.42111386730392
Yallourn North - Glengarry,-38.08461033205102,146.50268723253282
Traralgon - East,-38.18845203801036,146.6189169076113
Traralgon - West,-38.20984728523009,146.51044041970718
Alps - West,-37.448227446612336,146.84786735325895
Longford - Loch Sport,-38.1437290736797,147.25277977980585
Maffra,-37.84239475609653,146.86708612587842
Rosedale,-38.156595068209306,146.78359540812014
Sale,-38.10464536345941,147.05626804172059
Yarram,-38.49424922997429,146.75161810246672
Brunswick East,-37.768890269091365,144.97767359622273
Brunswick West,-37.76330682312709,144.94254758775253
Pascoe Vale South,-37.743432215920144,144.93847067299293
Brunswick - North,-37.76061599396458,144.96304108146072
Brunswick - South,-37.77154903329591,144.9597148110065
Coburg - East,-37.74562064866083,144.97185135645276
Coburg - West,-37.7439690364814,144.9552211616287
Alphington - Fairfield,-37.774450635571775,145.0246805594761
Thornbury,-37.75815129100982,145.00639006074567
Northcote - East,-37.77426201676975,145.0067092481436
Northcote - West,-37.769471224122796,144.99140428804418
Ascot Vale,-37.776963163814465,144.91368534637056
Flemington,-37.783814711979105,144.93090830768764
Moonee Ponds,-37.7656125811712,144.92143525108267
Essendon (West) - Aberfeldie,-37.750129274451815,144.8990925588762
Essendon - East,-37.751270581660606,144.91927630560906
Carlton,-37.80050023329864,144.96780441298853
Docklands,-37.81794762815656,144.94328587893943
East Melbourne,-37.817141517046615,144.98148396202618
Flemington Racecourse,-37.787986008556,144.9125835944185
Kensington (Vic.),-37.79431842246614,144.92707364215434
Parkville,-37.78709162142663,144.95153921205008
South Yarra - West,-37.839429061052044,144.9818775734669
West Melbourne - Industrial,-37.810108999479965,144.9220491450046
Melbourne CBD - East,-37.81278701743976,144.96859287374974
Melbourne CBD - North,-37.80919110515081,144.96088380246076
Melbourne CBD - West,-37.81673802146322,144.95870882260155
North Melbourne,-37.79865620837603,144.94512750306995
Royal Botanic Gardens Victoria,-37.82775044300968,144.97670594242345
Southbank (West) - South Wharf,-37.82423083936511,144.95636562193644
Southbank - East,-37.826356946991034,144.9661201794769
West Melbourne - Residential,-37.80858031147908,144.94976445094477
Albert Park,-37.84562384379434,144.96405424824383
Elwood,-37.880908933070124,144.98554037320412
Port Melbourne,-37.83805801534664,144.93505684006655
St Kilda East,-37.86706795893867,144.99818812908813
Port Melbourne Industrial,-37.83105268918249,144.9198513189228
South Melbourne,-37.83465030590571,144.95975634434083
St Kilda - Central,-37.863990791117736,144.9861559792342
St Kilda - West,-37.861344917872316,144.9762676334905
Armadale,-37.8567469622587,145.02071077926166
Prahran - Windsor,-37.85283670369436,144.99805761568007
Toorak,-37.84160003878861,145.0176273566102
South Yarra - North,-37.83614617205204,144.996500075651
South Yarra - South,-37.843171426491025,144.99489915961604
Abbotsford,-37.80458484445866,144.99976768740123
Carlton North - Princes Hill,-37.78569850451154,144.96813243979358
Collingwood,-37.80207818982443,144.98814166674435
Fitzroy,-37.80103082234584,144.9791393565102
Fitzroy North,-37.784064976710724,144.98430874517808
Clifton Hill - Alphington,-37.78982669940289,145.01296665619984
Richmond (South) - Cremorne,-37.82649290079218,145.00462805771375
Richmond - North,-37.81486857682293,145.002769616286
Ashburton (Vic.),-37.86737575901016,145.0805783101443
Balwyn,-37.809792361468915,145.080562683768
Balwyn North,-37.79187721366815,145.08389993704822
Camberwell,-37.83842866110125,145.07402266690283
Glen Iris - East,-37.85473145594955,145.072005888388
Hawthorn East,-37.8312698416898,145.04991149713413
Kew East,-37.79055465326716,145.05239150956731
Surrey Hills (West) - Canterbury,-37.82448702685824,145.0840383747766
Hawthorn - North,-37.81799990989483,145.02854812774706
Hawthorn - South,-37.8292645533756,145.03389602691763
Kew - South,-37.808738394315725,145.0465758289437
Kew - West,-37.79975106020813,145.02398623945993
Bulleen,-37.768871604319536,145.0871858556652
Doncaster,-37.784815091970295,145.12385856083512
Templestowe,-37.754034241875665,145.14863888790728
Templestowe Lower,-37.76385461458064,145.112278528077
Doncaster East - North,-37.76942612661071,145.16926162121422
Doncaster East - South,-37.791499024989314,145.1566974617387
Blackburn,-37.816545181279366,145.1529131995244
Blackburn South,-37.83934464484271,145.1465457573959
Box Hill,-37.8290248733368,145.1247470044698
Box Hill North,-37.804679419346606,145.12269741361058
Burwood (Vic.),-37.8480513647265,145.11295062924236
Burwood East,-37.85357271778892,145.15042160949724
Surrey Hills (East) - Mont Albert,-37.82428170455597,145.10690115447733
Beaumaris,-37.98079016448851,145.03775620353144
Brighton (Vic.),-37.908175952690016,144.99582272127432
Brighton East,-37.917136210508346,145.0163110590734
Highett (West) - Cheltenham,-37.95743300594351,145.03796959736042
Hampton,-37.937647845225015,145.01425280802462
Sandringham - Black Rock,-37.96083893617765,145.01711100702525
Bentleigh - McKinnon,-37.919463976665845,145.03797742437507
Carnegie,-37.89337745517555,145.05590358314026
Caulfield - North,-37.8738670282108,145.02290979837164
Caulfield - South,-37.89136717659983,145.0253678041275
Elsternwick,-37.8869492551571,145.00720542500846
Hughesdale,-37.8994671723639,145.08114175790982
Murrumbeena,-37.8968245286548,145.07037383662254
Ormond - Glen Huntly,-37.900354049361326,145.04142842753026
Bentleigh East - North,-37.91481024628763,145.0680552154255
Bentleigh East - South,-37.92940012643494,145.0653323518676
Aspendale Gardens - Waterways,-38.01908632960415,145.12308150251508
Braeside,-37.99800717457517,145.122238260684
Carrum - Patterson Lakes,-38.07129340917939,145.1391996620409
Chelsea - Bonbeach,-38.05658355480209,145.1246179459003
Chelsea Heights,-38.040830057865456,145.13424359942653
Highett (East) - Cheltenham,-37.961166046566994,145.06608554987005
Edithvale - Aspendale,-38.028217220272055,145.1074840130792
Mentone,-37.98163136424051,145.06905442535637
Moorabbin - Heatherton,-37.95033150933209,145.07932999710826
Moorabbin Airport,-37.977443364097816,145.09952396862434
Mordialloc - Parkdale,-37.995991525286065,145.08944953478132
Malvern - Glen Iris,-37.85640377356251,145.0422750706545
Malvern East,-37.87682309012833,145.06585386160347
Bundoora - East,-37.69880167722492,145.06833756358378
Greensborough,-37.70008848548765,145.1139014732118
Heidelberg - Rosanna,-37.74569986976617,145.0696604359556
Heidelberg West,-37.742979119396324,145.04641210771177
Ivanhoe,-37.76902027346892,145.04308445416322
Ivanhoe East - Eaglemont,-37.768557520435216,145.06279946113662
Montmorency - Briar Hill,-37.72884450920995,145.11969472145557
Viewbank - Yallambie,-37.731210375205166,145.08824673420838
Watsonia,-37.70489312126273,145.08415279036961
Kingsbury,-37.714548470578215,145.04904897706427
Preston - East,-37.74274671289624,145.01600693245055
Preston - West,-37.7399271015263,144.99007063225568
Reservoir - North East,-37.705936185190666,145.02121352768148
Reservoir - North West,-37.69995301152477,144.99399003263872
Reservoir - South East,-37.72533679869764,145.0220242635609
Reservoir - South West,-37.717803634726984,144.9939372352099
Eltham,-37.71469610588279,145.15682534747572
Hurstbridge,-37.63756707580827,145.19434281221888
Kinglake,-37.49105024043578,145.40829870257167
Panton Hill - St Andrews,-37.595852111805435,145.26476604109158
Plenty - Yarrambat,-37.653508888076104,145.12385034680585
Research - North Warrandyte,-37.69899318209079,145.22062223143845
Wattle Glen - Diamond Creek,-37.66772825946154,145.16730877656445
Bundoora - North,-37.68281122757241,145.07120087954522
Bundoora - West,-37.6929034073034,145.05258464095272
Mill Park - North,-37.659507014365474,145.0677173283532
Mill Park - South,-37.671388707643864,145.0592372856618
Thomastown,-37.68384145409176,145.00828111182636
Wallan,-37.38480776831886,145.07156450165925
Whittlesea,-37.497914602810276,145.1019625014986
Epping - East,-37.635775640874314,145.0453947905656
Epping - South,-37.63920054827605,144.99652019500908
Epping (Vic.) - West,-37.6319283206337,145.01005571612325
South Morang - North,-37.623699461454066,145.08254398655671
South Morang - South,-37.645714145621874,145.0855900654508
Wollert,-37.59092172212171,145.0050682235616
Doreen - North,-37.5881784320165,145.1268483979933
Doreen - South,-37.611432171029804,145.1210745412022
Lalor - East,-37.66896244553114,145.02836399781881
Lalor - West,-37.66057614116307,144.9946229859636
Mernda - North,-37.58423725721996,145.08550644244832
Mernda - South,-37.605898262544066,145.0755880808945
Airport West,-37.72380833966359,144.88130532342421
Essendon Airport,-37.726894247759084,144.9004149405928
Keilor,-37.71893271626724,144.84446356713235
Niddrie - Essendon West,-37.74498372976713,144.88489877499828
Strathmore,-37.72991606498964,144.9136798954838
Avondale Heights,-37.761538537155396,144.86261227947082
Keilor East,-37.74217418634931,144.86611914373486
Gisborne,-37.49547555951103,144.55520587718507
Macedon,-37.41191959560213,144.5732597135299
Riddells Creek,-37.43824384182563,144.6777100668881
Romsey,-37.3499898255319,144.76351293709777
Coburg North,-37.72697766151468,144.96746165410966
Fawkner,-37.70522169627999,144.96961218294933
Gowanbrae,-37.70278837672155,144.89755703737043
Hadfield,-37.71009524014438,144.95030433535703
Glenroy - East,-37.70193381539332,144.93495890975788
Glenroy - West,-37.70508487322535,144.90966740015816
Oak Park,-37.719591401125,144.9178985720293
Pascoe Vale,-37.724525754130774,144.93890520550434
Sunbury,-37.53942580437237,144.76758283238013
Diggers Rest,-37.615983442899655,144.68248238936485
Sunbury - South,-37.61362768927261,144.73790283941722
Sunbury - West,-37.53810485127318,144.67208125361535
Broadmeadows,-37.68406937640297,144.9293281237535
Campbellfield - Coolaroo,-37.66390672110572,144.95184998887643
Gladstone Park - Westmeadows,-37.6762582357351,144.89080412912406
Greenvale - Bulla,-37.62361851380089,144.83536666281745
Meadow Heights,-37.65115205748631,144.91856059682996
Melbourne Airport,-37.67640917065082,144.83652448981562
Tullamarine,-37.69612738591781,144.87723780443105
Craigieburn - Central,-37.59214749713862,144.93560912107554
Craigieburn - North,-37.57065254920403,144.94325942939716
Craigieburn - South,-37.6044315696007,144.91880694155236
Mickleham - Yuroke,-37.5435812888904,144.9019153812238
Craigieburn - North West,-37.57077560420595,144.9045378268697
Craigieburn - West,-37.58529194326814,144.9047751314475
Roxburgh Park (South) - Somerton,-37.6338290537277,144.94105050470344
Roxburgh Park - North,-37.618875635575705,144.9247729801312
Bayswater,-37.84542927097882,145.26477103190683
Knoxfield - Scoresby,-37.897206440853786,145.23046982242911
Lysterfield,-37.92695459047786,145.29081426025076
Rowville - Central,-37.9193699790703,145.24317533135266
Rowville - North,-37.90712805381712,145.2608659452176
Rowville - South,-37.935505634482915,145.23884947746254
Wantirna,-37.85231026156227,145.22598102419474
Wantirna South,-37.873638025128955,145.2209209909071
Boronia,-37.856277790346574,145.28597047022444
Ferntree Gully - North,-37.877291496429024,145.28556464578324
Ferntree Gully (South) - Upper Ferntree Gully,-37.89281102811435,145.28381811668842
The Basin,-37.85567402208072,145.3213785051338
Donvale - Park Orchards,-37.78455675862595,145.20305830047957
Warrandyte - Wonga Park,-37.74307856252103,145.24288410695098
Bayswater North,-37.82846627857294,145.29289687970308
Croydon Hills - Warranwood,-37.772939665444255,145.26872955399028
Ringwood,-37.81141009821301,145.23337387338955
Ringwood East,-37.82147692699526,145.2486827313564
Ringwood North,-37.794637280660126,145.23069242375624
Croydon - East,-37.80100655740841,145.29123181882036
Croydon - West,-37.788863179945025,145.27844139848892
Croydon South,-37.81507241450236,145.27932894168163
Forest Hill,-37.83985648621304,145.1710538643093
Mitcham (Vic.),-37.818164103688666,145.19901339865035
Nunawading,-37.81734899434175,145.17653659272867
Vermont,-37.83841917893696,145.19929707305303
Vermont South,-37.85437369917694,145.18782257680746
Belgrave - Selby,-37.93871748338683,145.35515432215954
Chirnside Park,-37.73858910786265,145.31432055939067
Healesville - Yarra Glen,-37.62612189982825,145.49618965513483
Kilsyth,-37.8154142305541,145.32034543223472
Lilydale - Coldstream,-37.713785631379,145.38883244388964
Monbulk - Silvan,-37.86406896867352,145.45873410809153
Montrose,-37.811122657377936,145.34795317845732
Mooroolbark,-37.781325277613384,145.3256776792061
Mount Dandenong - Olinda,-37.861827853787624,145.37568582565245
Mount Evelyn,-37.787278422168846,145.38821691321849
Upwey - Tecoma,-37.90423611893643,145.3307369296785
Wandin - Seville,-37.760630901286284,145.46397665675596
Yarra Valley,-37.767944580022494,145.68025696996577
Emerald - Cockatoo,-37.953135175593275,145.56164462075608
Beaconsfield - Officer,-38.042338010199224,145.40039788972928
Bunyip - Garfield,-38.07989755329495,145.646977295508
Koo Wee Rup,-38.207376880908114,145.55146234401568
Pakenham - North East,-38.053017318965054,145.5067644040067
Pakenham - North West,-38.04163189831094,145.45402803040616
Pakenham - South East,-38.093844811237894,145.51550411448667
Pakenham - South West,-38.091601310239255,145.4650753624103
Berwick - North,-38.025124256310775,145.34884258028293
Doveton,-37.99058941546647,145.24020639952062
Hallam,-38.00773632003844,145.2685008046342
Narre Warren North,-37.98629622531507,145.3304095336587
Endeavour Hills - North,-37.959456436997044,145.25803292280779
Endeavour Hills - South,-37.983363871734504,145.26080285678546
Narre Warren - North East,-38.005041960720455,145.30942969875161
Narre Warren - South West,-38.02479010777154,145.30408538209784
Berwick - South East,-38.0644878843006,145.35671321249865
Berwick - South West,-38.05455571667866,145.33040990723558
Cranbourne,-38.1068829494174,145.27571513289647
Cranbourne South,-38.151434373611444,145.31292717614312
Cranbourne West,-38.10183482916651,145.2484083955504
Lynbrook - Lyndhurst,-38.06202444744539,145.2531580370942
Pearcedale - Tooradin,-38.20444030349429,145.3115715628602
Narre Warren South - East,-38.05901564456577,145.31257761316837
Narre Warren South - West,-38.05008449672788,145.2920521016783
Clyde North - North,-38.08484562178591,145.35753489008343
Clyde North - South,-38.107624526801246,145.36362023645145
Cranbourne East - North,-38.10223194050528,145.31290598708458
Cranbourne East - South,-38.12248405581989,145.304225552078
Cranbourne North - East,-38.07954181003702,145.31544036181853
Cranbourne North - West,-38.07513087297237,145.27993221793105
Hampton Park - East,-38.04344916627948,145.27527360800053
Hampton Park - West,-38.0308084600765,145.25790316109732
Clarinda - Oakleigh South,-37.938550677315355,145.0990560114358
Clayton South,-37.94304800418513,145.12522022185078
Dandenong North,-37.955901760920675,145.21424698490114
Dingley Village,-37.974890867852395,145.12713791438082
Noble Park North,-37.95123697524294,145.19083444884834
Springvale,-37.9456823835458,145.1578615330602
Springvale South,-37.97083142288934,145.14786771397445
Noble Park - East,-37.96390999812098,145.18175174192137
Noble Park - West,-37.973926353008174,145.17274608334236
Dandenong - North,-37.981273799769006,145.21547427522603
Dandenong - South,-38.03771914497218,145.20890060664053
Keysborough - North,-37.98995717333747,145.17206344323725
Keysborough - South,-38.021374765103076,145.16165133912023
Ashwood - Chadstone,-37.87241407161278,145.10145824489817
Glen Waverley - East,-37.881510617228585,145.1783236105456
Glen Waverley - West,-37.88168880949294,145.15607592293546
Mount Waverley - North,-37.86644722404602,145.13023990882579
Mount Waverley - South,-37.887250644951926,145.12720856340852
Mulgrave,-37.92566907201821,145.17587698356067
Oakleigh - Huntingdale,-37.908469045865836,145.10121305244914
Wheelers Hill,-37.907572939085696,145.1868717372407
Clayton (North) - Notting Hill,-37.910536197903276,145.1381453642353
Clayton - Central,-37.92267031444036,145.1247334671533
Ardeer - Albion,-37.77613705696928,144.80960647725482
Cairnlea,-37.75930205961338,144.7878136428238
Delahey,-37.71978997620944,144.77732587011286
Keilor Downs,-37.72627525601189,144.81291535455838
Kings Park (Vic.),-37.739017247076625,144.7705126681289
St Albans - North,-37.737151270022046,144.8023951729281
St Albans - South,-37.75334246053505,144.80763949971896
Sunshine,-37.78930867590835,144.83425757183002
Sunshine North,-37.76391594021531,144.83619468153375
Sunshine West,-37.80199492702053,144.81828112652875
Sydenham,-37.699783355797045,144.76424876155957
Taylors Lakes,-37.68849818232266,144.7859784649255
Deer Park,-37.76864911599448,144.77129552429273
Derrimut,-37.798782135263714,144.77603339230336
Altona,-37.86029236613923,144.8150162182237
Altona Meadows,-37.880976807506045,144.78444062104128
Altona North,-37.8357106896034,144.83609506690036
Newport,-37.83761490911122,144.88222759744983
Seabrook,-37.88090760072983,144.7586619118336
Williamstown,-37.85911497731556,144.884796185323
Braybrook,-37.78467487415504,144.8629975235783
Footscray,-37.79811619342175,144.89732505480535
Maribyrnong,-37.772676316642034,144.88776820495764
Seddon - Kingsville,-37.80765403446462,144.8863476530542
West Footscray - Tottenham,-37.8020146958169,144.86451259683355
Yarraville,-37.81796298509081,144.88197768663372
Bacchus Marsh,-37.637931379634495,144.454621449851
Melton West,-37.66485837082886,144.54261011686023
Rockbank - Mount Cottrell,-37.76038512687672,144.66724482492185
Taylors Hill,-37.71454419951381,144.74901580832974
Burnside,-37.74919971269368,144.75303282025675
Burnside Heights,-37.732218074018824,144.7556373045572
Caroline Springs,-37.73891284439547,144.73737082418467
Brookfield,-37.699329262337116,144.54055666341765
Cobblebank - Strathtulloh,-37.72203852148281,144.59851095216968
Eynesbury - Exford,-37.75506930263209,144.5309695426516
Fraser Rise - Plumpton,-37.686997567916244,144.69082244905587
Hillside,-37.68995418569978,144.74109322195972
Kurunjang - Toolern Vale,-37.616236779832604,144.5936180532347
Melton,-37.68574037509249,144.59580857370844
Melton South - Weir Views,-37.71785316378721,144.56846634595252
Hoppers Crossing - North,-37.86243038788336,144.7012628305171
Hoppers Crossing - South,-37.87326529756857,144.68536748790865
Laverton,-37.839525333359475,144.77804496405747
Werribee - South,-37.95134616859462,144.65288125305256
Point Cook - East,-37.91312052911821,144.77011213574553
Point Cook - South,-37.91132429134648,144.7334528101978
Werribee - East,-37.88516433574866,144.66195671018113
Werribee - West,-37.91964525915655,144.5484859959861
Manor Lakes - Quandong,-37.84847302615514,144.51869572073176
Point Cook - North East,-37.8864460484194,144.74358523615962
Point Cook - North West,-37.88533933610082,144.7261710208062
Tarneit (West) - Mount Cottrell,-37.82420753057735,144.62433506632607
Tarneit - Central,-37.84067591613956,144.6804972842704
Tarneit - North,-37.81814814414655,144.68161463740267
Tarneit - South,-37.857759152052935,144.66096294664644
Truganina - North,-37.824046168107934,144.73661164217773
Truganina - South East,-37.84769339246422,144.7427040673672
Truganina - South West,-37.84955622847436,144.72090803145292
Wyndham Vale - North,-37.82703493121346,144.56505191506798
Wyndham Vale - South,-37.88920620604383,144.6167925352957
Carrum Downs,-38.09276468420273,145.17580015009707
Frankston,-38.15409816290187,145.1396548587269
Frankston North,-38.13359499515375,145.15804674962015
Frankston South,-38.17643613810458,145.12947119166904
Langwarrin,-38.16260917829405,145.19593335077235
Seaford (Vic.),-38.10480756169321,145.1384525140486
Skye - Sandhurst,-38.10136203528217,145.2150846713228
Dromana,-38.33584251340822,144.99912350078085
Flinders,-38.398022914855936,145.0000524816923
Hastings - Somers,-38.34577760137651,145.1646566847463
Mount Eliza,-38.19506125727455,145.09289655350108
Mount Martha,-38.27545203061259,145.0307372878298
Point Nepean,-38.37859598159095,144.79665031014173
Rosebud - McCrae,-38.36894473282025,144.9074535092929
Somerville,-38.24113071013181,145.1638994809263
Mornington - East,-38.2340032291916,145.06760071749733
Mornington - West,-38.22220512225747,145.04350621408017
Ararat,-37.262438203543,142.97561596816874
Ararat Surrounds,-37.49017593562373,142.83447964210782
Horsham,-36.73174876978094,142.21450028322997
Horsham Surrounds,-36.82188483888404,142.08909985696593
Nhill Region,-36.098115945494364,141.57578032375906
St Arnaud,-36.6753223715032,143.12659015039063
Stawell,-37.02160435883561,142.69572396441433
West Wimmera,-36.95293946224083,141.3431364712804
Yarriambiack,-35.98922776288126,142.42305839976726
Irymple,-34.24151115199222,142.1811168411928
Merbein,-34.18149140317094,142.0362281681659
Mildura Surrounds,-34.883360858194784,141.6714659588216
Red Cliffs,-34.33672185658765,142.22700449097638
Mildura - North,-34.180662504394576,142.15583762656618
Mildura - South,-34.22070111503963,142.11084110908922
Buloke,-35.90973188658755,143.0061903840911
Gannawarra,-35.751463298738614,143.8026032172994
Kerang,-35.724598931469394,143.94550280988136
Robinvale,-34.65217155281184,142.76691979139522
Swan Hill,-35.36217074499275,143.51179470968862
Swan Hill Surrounds,-35.12684644125461,143.12772122157054
Echuca,-36.163725241634566,144.77215102936304
Kyabram,-36.2555427923162,144.97818381200636
Lockington - Gunbower,-36.174555975844505,144.47041093959172
Rochester,-36.33482226736469,144.7366681858332
Rushworth,-36.57898754618671,144.8431071648025
Cobram,-35.944380865074756,145.66835999550878
Moira,-36.14725132158447,145.89600309522595
Numurkah,-36.01432637205329,145.30159571020147
Yarrawonga,-36.0376204371985,146.00269601315864
Mooroopna,-36.39879886197176,145.3461207768942
Shepparton - North,-36.34281721162121,145.4013730617892
Shepparton Surrounds - East,-36.37345194417658,145.53991858797121
Shepparton Surrounds - West,-36.42306540191318,145.21279431833457
Kialla,-36.45634906240358,145.41057055614442
Shepparton - South East,-36.39992840926257,145.45838412336482
Glenelg (Vic.),-37.86630516166752,141.38286154112518
Hamilton (Vic.),-37.74582838303359,142.01761947894795
Portland,-38.34023954388314,141.5841295390943
Southern Grampians,-37.536629530802536,142.02893892355848
Camperdown,-38.228588315025185,143.15921632581558
Colac,-38.358821719035625,143.57855270680062
Colac Surrounds,-38.29800698461982,143.63628274156147
Corangamite - North,-38.022049128144324,143.2604893892571
Corangamite - South,-38.46332374833892,143.10649170464478
Otway,-38.64208964017761,143.553904461219
Moyne - East,-38.09471476925597,142.7111928080641
Moyne - West,-38.15666281521874,142.1487545818805
Warrnambool - North,-38.344636082354285,142.49576449196164
Warrnambool - South,-38.38986160903671,142.57425654255778
Migratory - Offshore - Shipping (Vic.),,
No usual address (Vic.),,
